rule_number,category,rule_name,content,priority,active
1,FOUNDATION,Support and Resistance,"A level is only valid if price has tested it 3 or more times. Always identify levels on the higher timeframe first — Daily, Weekly, Monthly — then work down to lower timeframes. Support and resistance are zones not exact lines. Mark them as zones with width. Psychological rounded numbers are always considered as additional confluence. A level tested more times is a stronger level. 3 tests = valid. 5 tests = very strong. 7+ tests = major level. Higher timeframe levels always override lower timeframe levels when in conflict.",1,true
2,FOUNDATION,Candle Analysis,"THREE CANDLE TYPES: MOMENTUM CANDLES — Long body. Small or no wicks. Strong directional move. The longer the body relative to the wicks the stronger the momentum. These confirm the direction of the real move. PIVOT CANDLES — Appear at support and resistance zones. Confirm a level is holding. A momentum candle at a key S&R level is the strongest confirmation signal. REVERSAL CANDLES — Appear at exhaustion points. Long wicks. Small body. The wick shows rejection. A reversal candle at a key level after the 3rd phase of a move signals the midpoint reversal.",2,true
3,FOUNDATION,Top Down Analysis,"ALWAYS IN THIS ORDER: Step 1 — Monthly chart: Identify major S&R zones tested 3+ times. Note psychological levels. Identify where we are in the yearly manipulation cycle. Step 2 — Weekly chart: Identify weekly S&R zones. Note where weekly manipulation has occurred. Step 3 — Daily chart: Identify daily S&R zones. Note the candle types at key levels. Step 4 — 4H chart: Fine detail entry preparation. Identify the manipulation on the 4H. Step 5 — 1H or 15M: Entry timing only. Never use lower timeframes for direction. The higher timeframe bias must already be confirmed.",3,true
4,MANIPULATION,Manipulation Not Fixed,"Do not assume Monday is always the manipulation day. Variations exist. Friday can be the manipulation. Tuesday can be the manipulation if Monday is a bank holiday. Active analysis required every week. Never apply rules mechanically. The entire move tends to move in one direction rapidly and strongly. Active analysis is required every single week to identify which day or period is the manipulation.",4,true
5,MANIPULATION,Manipulation Characteristics,"A manipulation move has these specific characteristics: SPEED — Moves rapidly. Sharp. Aggressive. Covers a large number of pips in a very short space of time. DIRECTION — The entire candle or session moves in ONE direction only. Strong. Clean. One sided. Very little pullback during the move. SIZE — Covers significantly more pips than a normal candle for that timeframe. An abnormally large move is always suspicious. REVERSAL — After the manipulation completes a pivot point appears. Either a pivot candle at the high/low, an M formation at the high, or a W formation at the low.",5,true
6,MANIPULATION,Session Timing,"LONDON SESSION: First 45 minutes = manipulation window. Specifically 3 consecutive 15 minute candles. These 3 candles form the manipulation. Watch for the pivot after the 3rd 15 minute candle. NEW YORK SESSION: Opens at 13:30 GMT. First 45 minutes = manipulation window. Again 3 consecutive 15 minute candles. Same rules apply. The pivot after the 3rd candle signals the real move direction. KEY INSIGHT: The manipulation in the first 45 minutes sets up the real move for the rest of the session. The real move goes opposite to the first 45 minute direction.",6,true
7,MANIPULATION,Pip Measurements,"Standard manipulation move: 3 consecutive 15 minute candles. Each candle moves approximately 25 pips per candle. Total manipulation range: 50 to 75 pips standard. High volatility adjustment: In increased volatility environments the manipulation can exceed 75 pips significantly. Always confirm with current market context. Do not apply fixed pip rules rigidly in volatile conditions. This applies to London open first 45 minutes, New York open first 45 minutes, and any session where the first 3 candles show this pattern.",7,true
8,PATTERNS,M Formation Rules,"A VALID M FORMATION: First leg peak is HIGHER than the second leg peak. This is non negotiable. First leg must be the highest point. THE NECKLINE: Connects the two troughs between the two peaks. Break below neckline = confirmation. INVALIDATION: If the second leg closes ABOVE the first leg peak the M formation is invalid. Do not trade it as a double top. WHAT HAPPENS AFTER INVALIDATION: A shorter additional manipulation run higher — typically 20 to 25 pips above the first leg high. Then the real reversal comes. This is a trap for traders who shorted at the first peak. The market squeezes them out before the real move down begins. The entry is AFTER this secondary squeeze completes.",8,true
9,PATTERNS,W Formation Rules,"Exact mirror of M formation. All M formation rules apply in reverse. Valid W: First trough LOWER than second trough. Second trough must not close below the first trough. If it does the formation is invalid. After invalidation: Extension of 20 to 25 pips lower then the real reversal up begins. The neckline connects the two peaks between the two troughs. Break above neckline = confirmation. Same trap mechanic applies in reverse.",9,true
10,PATTERNS,Triple Top and Triple Bottom,"TRIPLE TOP — 3 legged M: Three peaks at approximately the same level. The third peak is the strongest reversal signal of all patterns. Stronger than a double top. More reliable than a standard M. INVALIDATION RULE: Once the third peak forms and you enter the reversal trade — price must NOT retrace more than 15 pips above the third peak. If it does exit immediately. The pattern has failed. A fourth leg may be forming. TRIPLE BOTTOM — 3 legged W: Mirror of triple top. Three troughs at same level. Third trough = strongest buy reversal signal. Same 15 pip invalidation rule applies in reverse.",10,true
11,PATTERNS,Real Move Retracement Patterns,"AFTER MOVE 1 RETRACEMENT: The pullback after the first real move typically forms one of two patterns. PATTERN A — Single point reversal: A V shape. Sharp pullback. Single low. Immediately resumes direction. Most common pattern. Clean and fast. PATTERN B — Double top/bottom: Occasionally forms a small double top or double bottom on the retracement. Less common but valid. Wait for the second peak/trough to confirm before re-entering. FULL PATTERN SEQUENCE of a complete down real move: M formation manipulation top — Move 1 down — V reversal bounce — Move 2 down — V reversal bounce — Move 3 down — W formation real bottom — New cycle begins. Up move is the exact mirror.",11,true
12,ENTRY AND RISK,Stop Loss Placement,"Stop loss goes 50 pips from the manipulation peak or trough. REASONING: If manipulation extends it typically extends by only 25 additional pips. 50 pip stop absorbs this extension without getting stopped out. After the additional 25 pip extension the reversal comes. The 50 pip stop survives this. Never place stop at the exact manipulation high or low. That is where the market hunts stops deliberately. 50 pips beyond is the safe zone outside the hunt.",12,true
13,ENTRY AND RISK,Fibonacci Pullback Entry,"The optimal pullback entry is between 50% and 61.8% Fibonacci retracement of the initial real move. This is the highest probability entry zone on any pullback. Below 50% retracement: Pullback too shallow — wait for deeper retracement. Above 61.8% retracement: Pullback too deep — real move may be invalidated — reassess the setup entirely. 50% to 61.8% zone: Highest probability entry. Combine with pivot candle confirmation, key S&R level in the zone, and momentum candle resuming the real move direction.",13,true
14,ENTRY AND RISK,Risk Reward By Trader Type,"SHORT TERM TRADER: Minimum 1:1 risk reward. 25 pip stop — 25 pip target. 50 pip stop — 50 pip target. Quick in. Quick out. Multiple trades per session. LONG TERM TRADER: Minimum 1:3 risk reward. 25 pip stop — 75 pip target. 50 pip stop — 150 pip target. Fewer trades. Larger moves. Hold through the 3 phases. NEVER TAKE A TRADE: Where risk reward cannot be clearly defined before entry. If the target is unclear do not enter the trade.",14,true
15,ENTRY AND RISK,Entry Confirmations Required,"ALL THREE must be present before entering any trade. CONFIRMATION 1 — Higher timeframe trend: The overall longer term trend must be clearly identified. Monthly and weekly direction confirmed. You are trading WITH this trend. Never against it. CONFIRMATION 2 — Key S&R level: The strongest support and resistance levels on the higher timeframe must be clearly drawn. The entry must be at or near one of these key levels. Not in the middle of nowhere. CONFIRMATION 3 — Momentum candles on 4H+: The 4H chart or above must show strong momentum candles in the correct direction. Long bodies. Minimal wicks. Without this confirmation do not enter regardless of the other two being present.",15,true
16,ENTRY AND RISK,Position Management Trail Rules,"Stop loss trail rules: Entry confirmed and position open. AT 25 PIPS PROFIT: Move stop loss to breakeven. Zero risk from this point. AT 50 PIPS PROFIT: Move stop loss to 25 pips profit. Minimum 25 pips locked in. Cannot lose on this trade. AT 75 PIPS PROFIT: Move stop loss to 50 pips profit. Continue trailing by 25 pips for every additional 25 pips gained. This protects profits while allowing the real move to run to completion.",16,true
17,REAL MOVE,Phase 2 Entry Timing,"Phase 2 occurs between Week 2 and Week 3. This is the highest probability entry window. CONFIRMATION SEQUENCE: Step 1 — Week 1 clearly identified as manipulation week. Step 2 — Reversal confirmed at Week 1 high or low. Step 3 — Monday of Week 2 shows manipulation day. Step 4 — Tuesday and Wednesday move in real move direction. Step 5 — Thursday is typically the strongest real move day and the ideal Phase 2 entry. LATE ENTRY RULE: Even if entry is slightly late in Phase 2 the real move trend is strong enough to still move in your favour. Following the real move direction provides the highest probability of success even on late entries.",17,true
18,REAL MOVE,Real Move Identification,"CONFIRMATION PROCESS: Step 1 — Identify the manipulation direction. Step 2 — Watch the next period. If the following period also moves in the same direction as the first period that following period is the manipulation for the new cycle. Step 3 — The remaining periods should now move in the OPPOSITE direction. This is the real move confirmed. THE THREE REAL MOVES: The real move comes in exactly 3 moves. These can be 3 days within a week, 3 strong moves within a single day, or 3 sessions moving in that direction. The 3 moves follow the same direction with peaks and troughs but the overall trajectory is consistent and trending. After 3 real moves the mid period reversal begins and the new manipulation starts.",18,true
19,REAL MOVE,Daily Pip Limit,"The market has a natural daily pip range limit. DAILY RANGE: Typical 50 to 100 pips maximum. If the market has already moved 80 to 100 pips in a day do not enter new trades in the same direction. The daily range is exhausted. Wait for the next session.",19,true
20,REAL MOVE,Weekly Pip Limit,"WEEKLY RANGE: Typical 100 to 300 pips per week. If the market moves MORE than 300 pips by Thursday there is a high probability of a Thursday or Friday pullback back within the 100 to 300 pip range. This pullback is tradeable as a counter move. Not a new trend. A range correction only. EXTENDED VOLATILITY: If weekly range exceeds 300 pips early in the week monitor Thursday and Friday closely. The market will attempt to return within the normal range. This is the end of the real move for that week. New manipulation begins next week.",20,true
21,NEWS,High Impact News Rules,"CRITICAL RULE: High impact news always follows the manipulation then real move pattern. NEWS RELEASE SEQUENCE: At moment of release the initial spike is the manipulation. Sharp. Fast. One direction. This traps traders who trade the news directly. Do not enter at the moment of release. Shortly after or the following session the real move begins going OPPOSITE to the initial spike. NEWS EVENTS TO MONITOR: Non Farm Payrolls. Consumer Price Index. Interest Rate Decisions. Jobless Claims. GDP releases. Fed Chair speeches. Bank of England decisions. RULE: Never trade the first candle of a news release. Wait for the manipulation to complete. Identify the pivot. Then enter in the opposite direction for the real move.",21,true
22,ADVANCED,Institutional Manipulation Theory,"CORE PRINCIPLE: All market movement is driven by institutional participants. Institutions manipulate price to trap retail traders into the wrong positions before making their real move. Institutions need liquidity. They need retail traders on the wrong side of the trade to provide that liquidity. The manipulation move is designed to attract retail traders into a position then reverse against them. STRUCTURE BREAKDOWN: Sometimes the manipulation fails when by chance the majority of retail traders are already positioned in the same direction as the institutions. When this occurs the normal structure breaks down. The market cannot manipulate in the usual way because there are not enough traders on the other side.",22,true
23,ADVANCED,Structure Breakdown Recognition,"SIGNS OF STRUCTURE BREAKDOWN: Your stop loss gets hit. The manipulation extends far beyond normal pip range. The pattern does not form cleanly. Multiple failed setups in a row. WHAT TO DO: Do not force the setup. Step back entirely. The market is resetting and creating a new equilibrium waiting for enough buyers and sellers to accumulate on both sides again. RECOGNITION RULE: If two consecutive setups fail in the same direction the structure has likely broken. Stop trading that direction. Wait for a full new cycle to form before re-entering. A new structure will form and a new manipulation will begin.",23,true
24,NEWS,High Impact News Direction Rule,"CORE PRINCIPLE: High impact news always resolves in the direction of the real move regardless of what the data says. The actual numbers do not matter. Better than expected jobs data. Worse than expected CPI. Higher or lower interest rates. None of it matters. What matters is the real move direction already established on the higher timeframe. The news will ultimately go in that direction always. HOW IT PLAYS OUT: Initial release is volatile spike in both directions — this is the manipulation — do not react. Shortly after price resolves in the direction of the real move. THE SWING TRADER RULE: If your account is large enough to hold through the volatility without getting stopped out simply stay in the direction of the real move during news. The spike will resolve in your favour. Stop loss must be wide enough to survive the initial spike — use the 50 pip buffer rule. Do not trade the news data. Trade the real move direction. The news is just another manipulation event within the real move cycle. It does not change the direction. It accelerates it.",24,true
25,ASSET SUITABILITY,Asset Suitability Rules,"FOREX MAJOR PAIRS — Excellent: EUR/USD. GBP/USD. USD/JPY. AUD/USD. USD/CHF. USD/CAD. NZD/USD. The strategy works best here. Highest probability setups. All 25 rules apply fully. COMMODITIES — Excellent: Gold XAUUSD. Silver XAGUSD. Oil WTI and Brent. Same institutional manipulation structure as forex. All 25 rules apply fully. INDICES — Good on short timeframe only: S&P 500. Nasdaq. Dow Jones. FTSE 100. DAX. Strategy works well on 15 minute 1 hour and 4 hour timeframes only. On longer timeframes indices follow the general macro trend more. Use the strategy for short term entries only. BITCOIN — AVOID: Do not apply this strategy to Bitcoin or any cryptocurrency. Extreme volatility in both directions. No centralised institutional structure like forex. Still a relatively new asset. Major holders control price in unpredictable ways. The manipulation and real move cycles are not structured or reliable enough. ETHEREUM AND ALTCOINS — Avoid: Same reasons as Bitcoin. Even higher volatility. Even less predictable structure.",25,true
